id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
66,4-Phase DRL,7-4-1-sb,balanced_800,3,267.0,82.0,,,349.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.6989528795811518,0.6833333333333333,,,0.6952191235059761
67,4-Phase DRL,7-4-1-sb,balanced_800,4,124.0,252.0,,,376.0,0.050555555555555555,0.08888888888888889,0.0,0.0,0.13944444444444445,0.6813186813186813,0.7875,,,0.749003984063745
68,4-Phase DRL,7-4-1-sb,balanced_800,5,190.0,195.0,,,385.0,0.07,0.06944444444444445,0.0,0.0,0.13944444444444445,0.753968253968254,0.78,,,0.7669322709163346
69,4-Phase DRL,7-4-1-sb,balanced_800,6,152.0,245.0,,,397.0,0.058888888888888886,0.08055555555555556,0.0,0.0,0.13944444444444445,0.7169811320754716,0.8448275862068966,,,0.7908366533864541
70,4-Phase DRL,7-4-1-sb,balanced_800,7,295.0,65.0,,,360.0,0.11722222222222223,0.022222222222222223,0.0,0.0,0.13944444444444445,0.6990521327014217,0.8125,,,0.7171314741035857
71,4-Phase DRL,7-4-1-sb,unbalanced,1,182.0,145.0,,,327.0,0.0811111111111111,0.058333333333333334,0.0,0.0,0.13944444444444445,0.6232876712328768,0.6904761904761905,,,0.651394422310757
72,4-Phase DRL,7-4-1-sb,unbalanced,2,202.0,125.0,,,327.0,0.08944444444444444,0.05,0.0,0.0,0.13944444444444445,0.6273291925465838,0.6944444444444444,,,0.651394422310757
73,4-Phase DRL,7-4-1-sb,unbalanced,3,233.0,60.0,,,293.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.6099476439790575,0.5,,,0.5836653386454184
74,4-Phase DRL,7-4-1-sb,unbalanced,4,110.0,211.0,,,321.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.55,0.6986754966887417,,,0.6394422310756972
75,4-Phase DRL,7-4-1-sb,unbalanced,5,186.0,150.0,,,336.0,0.07777777777777778,0.06166666666666667,0.0,0.0,0.13944444444444445,0.6642857142857143,0.6756756756756757,,,0.6693227091633466
76,4-Phase DRL,7-4-1-sb,unbalanced,6,115.0,229.0,,,344.0,0.05277777777777778,0.08666666666666667,0.0,0.0,0.13944444444444445,0.6052631578947368,0.7339743589743589,,,0.6852589641434262
77,4-Phase DRL,7-4-1-sb,unbalanced,7,243.0,64.0,,,307.0,0.11166666666666666,0.027777777777777776,0.0,0.0,0.13944444444444445,0.6044776119402985,0.64,,,0.6115537848605578
78,4-Phase DRL,7-4-1-sb,main-minor,1,213.0,149.0,,,362.0,0.08388888888888889,0.05555555555555555,0.0,0.0,0.13944444444444445,0.7052980132450332,0.745,,,0.7211155378486056
79,4-Phase DRL,7-4-1-sb,main-minor,2,234.0,134.0,,,368.0,0.09222222222222222,0.04722222222222222,0.0,0.0,0.13944444444444445,0.7048192771084337,0.788235294117647,,,0.7330677290836654
80,4-Phase DRL,7-4-1-sb,main-minor,3,264.0,67.0,,,331.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.6910994764397905,0.5583333333333333,,,0.6593625498007968
81,4-Phase DRL,7-4-1-sb,main-minor,4,129.0,215.0,,,344.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.645,0.7119205298013245,,,0.6852589641434262
82,4-Phase DRL,7-4-1-sb,main-minor,5,200.0,173.0,,,373.0,0.075,0.06444444444444444,0.0,0.0,0.13944444444444445,0.7407407407407407,0.7456896551724138,,,0.7430278884462151
83,4-Phase DRL,7-4-1-sb,main-minor,6,126.0,231.0,,,357.0,0.058333333333333334,0.0811111111111111,0.0,0.0,0.13944444444444445,0.6,0.791095890410959,,,0.7111553784860558
84,4-Phase DRL,7-4-1-sb,main-minor,7,247.0,80.0,,,327.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.6465968586387435,0.6666666666666666,,,0.651394422310757
85,Proposed DRL,7-4-1,balanced_500,1,73.0,81.0,83.0,32.0,269.0,0.03333333333333333,0.03888888888888889,0.04777777777777778,0.019444444444444445,0.13944444444444445,0.6083333333333333,0.5785714285714286,0.48255813953488375,0.45714285714285713,0.5358565737051793
86,Proposed DRL,7-4-1,balanced_500,2,48.0,48.0,82.0,90.0,268.0,0.027777777777777776,0.025,0.03944444444444444,0.04722222222222222,0.13944444444444445,0.48,0.5333333333333333,0.5774647887323944,0.5294117647058824,0.5338645418326693
87,Proposed DRL,7-4-1,balanced_500,3,130.0,23.0,78.0,9.0,240.0,0.07555555555555556,0.013888888888888888,0.044444444444444446,0.005555555555555556,0.13944444444444445,0.47794117647058826,0.46,0.4875,0.45,0.47808764940239046
88,Proposed DRL,7-4-1,balanced_500,4,36.0,92.0,112.0,13.0,253.0,0.025,0.045,0.06111111111111111,0.008333333333333333,0.13944444444444445,0.4,0.5679012345679012,0.509090909090909,0.43333333333333335,0.5039840637450199
89,Proposed DRL,7-4-1,balanced_500,5,85.0,45.0,152.0,,282.0,0.041666666666666664,0.025,0.07277777777777777,0.0,0.13944444444444445,0.5666666666666667,0.5,0.5801526717557252,,0.5617529880478087
90,Proposed DRL,7-4-1,balanced_500,6,30.0,106.0,59.0,65.0,260.0,0.016666666666666666,0.05555555555555555,0.03111111111111111,0.03611111111111111,0.13944444444444445,0.5,0.53,0.5267857142857143,0.5,0.5179282868525896
91,Proposed DRL,7-4-1,balanced_500,7,97.0,11.0,93.0,25.0,226.0,0.05333333333333334,0.011111111111111112,0.05555555555555555,0.019444444444444445,0.13944444444444445,0.5052083333333334,0.275,0.465,0.35714285714285715,0.450199203187251
92,Proposed DRL,7-4-1,balanced_600,1,105.0,55.0,153.0,6.0,319.0,0.041666666666666664,0.022222222222222223,0.07277777777777777,0.002777777777777778,0.13944444444444445,0.7,0.6875,0.583969465648855,0.6,0.6354581673306773
93,Proposed DRL,7-4-1,balanced_600,2,66.0,70.0,101.0,86.0,323.0,0.030555555555555555,0.030555555555555555,0.03611111111111111,0.042222222222222223,0.13944444444444445,0.6,0.6363636363636364,0.7769230769230769,0.5657894736842105,0.6434262948207171
94,Proposed DRL,7-4-1,balanced_600,3,166.0,28.0,106.0,,300.0,0.07555555555555556,0.013888888888888888,0.05,0.0,0.13944444444444445,0.6102941176470589,0.56,0.5888888888888889,,0.5976095617529881
95,Proposed DRL,7-4-1,balanced_600,4,45.0,117.0,140.0,8.0,310.0,0.022222222222222223,0.04777777777777778,0.06666666666666667,0.002777777777777778,0.13944444444444445,0.5625,0.6802325581395349,0.5833333333333334,0.8,0.6175298804780877
