id,method,layout,inflow,intersection,queue_avg,queue_max,delay_avg,delay_max,speed_avg,num_phase_changes,reward
95,Proposed DRL,7-4-1,balanced_800,4,27.96773809523809,50.251349206349204,17.283405172413794,52.537586206896556,19.978809523809524,49,80.59
96,Proposed DRL,7-4-1,balanced_800,5,44.591071428571425,75.96563492063493,27.875566037735847,66.58570754716982,16.064444444444447,50,67.32
97,Proposed DRL,7-4-1,balanced_800,6,14.198293650793651,27.752738095238097,8.37222707423581,28.78393013100437,27.48892857142857,51,111.73999999999998
98,Proposed DRL,7-4-1,balanced_800,7,29.40265873015873,58.58059523809524,14.774431818181817,48.97215909090908,22.25190476190476,43,101.48
99,Macro-State DRL,7-4-1,balanced_800,1,59.75238095238096,97.14746031746033,38.68525345622119,87.68594470046084,13.77392857142857,47,59.55
100,Macro-State DRL,7-4-1,balanced_800,2,46.47313492063492,85.48674603174602,21.354432432432432,58.59556756756757,18.68,46,87.97999999999999
101,Macro-State DRL,7-4-1,balanced_800,3,25.85198412698413,43.76246031746032,17.40989247311828,83.15172043010753,22.24083333333333,47,92.24000000000001
102,Macro-State DRL,7-4-1,balanced_800,4,34.89678571428571,60.876706349206344,21.68668246445498,52.11189573459716,18.422896825396823,51,71.12
103,Macro-State DRL,7-4-1,balanced_800,5,53.223888888888894,88.44785714285715,30.57246231155779,63.677336683417074,14.953968253968254,51,61.06
104,Macro-State DRL,7-4-1,balanced_800,6,20.121111111111112,34.72920634920634,14.008739130434781,41.25486956521738,23.44186507936508,51,96.85999999999999
105,Macro-State DRL,7-4-1,balanced_800,7,30.81928571428572,62.50369047619047,14.313262411347514,56.60659574468085,21.45063492063492,43,95.11
106,4-Phase DRL,7-4-1,balanced_800,1,55.54706349206348,129.8336111111111,32.5465367965368,80.78316017316014,15.101230158730159,42,64.34
107,4-Phase DRL,7-4-1,balanced_800,2,60.997817460317464,121.22253968253969,28.142681818181817,69.5900909090909,18.460396825396824,42,82.28999999999999
108,4-Phase DRL,7-4-1,balanced_800,3,30.54503968253968,61.75797619047619,21.241000000000003,73.59236363636366,20.595277777777778,40,89.84
109,4-Phase DRL,7-4-1,balanced_800,4,29.315436507936507,53.94670634920636,16.90402985074627,45.91597014925373,19.343690476190474,46,75.1
110,4-Phase DRL,7-4-1,balanced_800,5,55.55206349206349,106.57861111111113,29.70360576923077,70.50971153846153,15.243611111111113,42,59.42000000000001
111,4-Phase DRL,7-4-1,balanced_800,6,18.936071428571434,37.69341269841271,11.294933333333331,36.96008888888889,25.49142857142857,49,102.16999999999999
112,4-Phase DRL,7-4-1,balanced_800,7,33.56753968253968,62.937301587301576,13.52848275862069,50.27813793103448,20.590396825396823,36,93.0
113,SCOOT,7-4-1,main-minor,1,38.61784860557769,92.8619123505976,22.05841201716738,56.54695278969957,17.31828685258964,40,
114,SCOOT,7-4-1,main-minor,2,33.28820717131474,72.58330677290839,14.560362694300517,40.376373056994815,20.06406374501992,33,
115,SCOOT,7-4-1,main-minor,3,29.792868525896417,59.56079681274901,15.155801886792451,44.091320754716975,19.099203187250996,38,
116,SCOOT,7-4-1,main-minor,4,30.035139442231074,65.19195219123506,20.00160173160173,51.52675324675326,18.219521912350597,37,
117,SCOOT,7-4-1,main-minor,5,33.333067729083666,65.83796812749004,17.51891428571428,52.41514285714287,17.43788844621514,40,
118,SCOOT,7-4-1,main-minor,6,26.180358565737052,55.15243027888447,14.104025974025976,46.17727272727273,20.896733067729084,38,
119,SCOOT,7-4-1,main-minor,7,28.169920318725097,58.35298804780876,13.618584474885845,38.20456621004567,20.269521912350598,35,
120,Proposed DRL,7-4-1,main-minor,1,16.49496031746032,31.31392857142857,14.42112554112554,50.66402597402598,23.31873015873016,48,94.12
121,Proposed DRL,7-4-1,main-minor,2,19.21146825396825,40.930317460317454,13.776780487804878,47.61229268292682,24.61781746031746,49,110.18
122,Proposed DRL,7-4-1,main-minor,3,11.679206349206348,28.61047619047619,10.81345,60.79885,27.763492063492063,47,115.27000000000001
123,Proposed DRL,7-4-1,main-minor,4,16.84123015873016,39.11777777777779,9.508537735849059,33.07820754716981,24.615357142857142,48,96.86
124,Proposed DRL,7-4-1,main-minor,5,21.453531746031747,37.760714285714286,17.651780104712042,59.93204188481674,21.321349206349204,49,87.52
125,Proposed DRL,7-4-1,main-minor,6,9.28015873015873,20.626031746031746,6.2418260869565225,27.945,31.226944444444445,48,121.57999999999998
126,Proposed DRL,7-4-1,main-minor,7,13.875198412698412,32.923015873015885,12.445545023696683,55.561279620853085,26.360634920634922,48,116.44999999999999
127,Macro-State DRL,7-4-1,main-minor,1,19.668968253968252,37.06996031746032,18.7589029535865,60.467172995780594,21.945476190476192,47,92.1
128,Macro-State DRL,7-4-1,main-minor,2,22.125396825396827,42.51507936507936,13.230052083333334,41.12526041666666,23.17265873015873,47,103.83
129,Macro-State DRL,7-4-1,main-minor,3,11.308809523809522,21.393849206349206,11.286826347305388,49.89652694610779,26.827579365079362,44,106.17000000000002
130,Macro-State DRL,7-4-1,main-minor,4,14.013968253968255,24.888333333333332,11.004830917874395,41.52695652173912,24.88876984126984,51,96.83
131,Macro-State DRL,7-4-1,main-minor,5,22.060476190476194,38.31416666666667,19.41586387434555,60.39842931937172,20.696269841269842,51,85.34
132,Macro-State DRL,7-4-1,main-minor,6,10.866785714285713,20.44519841269841,6.115388349514563,23.943592233009714,29.3634126984127,50,110.85
133,Macro-State DRL,7-4-1,main-minor,7,13.985039682539682,28.682420634920632,13.819752475247526,60.092277227722775,25.281111111111112,43,107.62
134,4-Phase DRL,7-4-1,main-minor,1,29.226944444444445,65.80523809523808,22.285361702127663,66.94680851063829,18.871666666666666,44,81.05
135,4-Phase DRL,7-4-1,main-minor,2,27.99277777777778,62.68365079365079,17.710472103004292,49.01369098712446,21.83376984126984,40,101.44
136,4-Phase DRL,7-4-1,main-minor,3,14.138253968253968,31.391944444444437,14.81175,75.70540000000001,25.21587301587302,39,102.44999999999999
137,4-Phase DRL,7-4-1,main-minor,4,21.237539682539683,49.94015873015873,10.906210045662101,39.47949771689497,23.120992063492064,47,92.46
138,4-Phase DRL,7-4-1,main-minor,5,30.20218253968254,69.71603174603176,19.523204419889503,57.36386740331491,19.141309523809525,46,77.86999999999999
139,4-Phase DRL,7-4-1,main-minor,6,12.780873015873015,25.59190476190476,7.532701421800948,30.981469194312798,27.50781746031746,47,105.81
140,4-Phase DRL,7-4-1,main-minor,7,14.202301587301589,30.066904761904762,14.707894736842102,60.197982456140366,24.858214285714286,44,103.44
141,SCOOT,7-4-1,unbalanced,1,33.07067729083666,70.03908366533865,20.612121212121213,53.46125541125542,17.636733067729082,42,
142,SCOOT,7-4-1,unbalanced,2,47.1412749003984,119.35920318725098,21.080972222222222,58.969768518518514,16.987370517928287,35,
143,SCOOT,7-4-1,unbalanced,3,39.87458167330677,95.66075697211154,20.080748898678415,59.7811013215859,17.103067729083666,34,
144,SCOOT,7-4-1,unbalanced,4,51.818446215139446,110.89645418326694,26.950043290043286,61.96220779220781,14.798486055776893,32,
145,SCOOT,7-4-1,unbalanced,5,61.306772908366526,122.46262948207169,27.934193548387096,65.34037634408602,13.756215139442231,35,
146,SCOOT,7-4-1,unbalanced,6,39.65609561752988,97.36123505976094,18.487655502392347,58.78177033492823,17.410996015936256,35,
147,SCOOT,7-4-1,unbalanced,7,38.20713147410358,96.8427888446215,18.057022222222223,50.96519999999999,17.21996015936255,36,
148,Proposed DRL,7-4-1,unbalanced,1,24.133650793650794,49.99583333333333,16.220765550239236,49.2511004784689,20.762182539682538,50,87.59
149,Proposed DRL,7-4-1,unbalanced,2,28.167936507936506,67.99753968253968,18.30513043478261,72.45943478260868,23.182539682539684,49,108.43
150,Proposed DRL,7-4-1,unbalanced,3,11.572698412698413,26.294404761904765,8.491318181818183,47.12204545454545,28.38666666666667,48,112.28
151,Proposed DRL,7-4-1,unbalanced,4,22.986666666666668,48.08511904761905,9.733174603174604,38.40973544973545,23.095952380952383,48,94.4
152,Proposed DRL,7-4-1,unbalanced,5,28.34261904761905,52.263214285714284,18.26440414507772,52.14756476683937,19.057380952380957,47,79.25999999999999
153,Proposed DRL,7-4-1,unbalanced,6,10.006428571428573,22.662063492063492,6.670931372549019,27.675441176470585,29.88888888888889,50,120.61
